,artist_id,artist_name,album_id,album_name,album_release_date,album_total_tracks,track_id,track_name,duration_ms,explicit,added_at
784,6MwPCCR936cYfM1dLsGVnl,Motionless In White,5ucBd1GYFRg0uVhP4a4AY6,Graveyard Shift,2017-05-05,12,7petzbAJP403GAY6F3Zfbx,Soft,210000,True,2021-07-22T15:10:22Z
785,6MwPCCR936cYfM1dLsGVnl,Motionless In White,5ucBd1GYFRg0uVhP4a4AY6,Graveyard Shift,2017-05-05,12,6Rt9GlwZEDU0V3vhXrUNqJ,Necessary Evil (feat. Jonathan Davis),228053,True,2021-07-22T15:10:20Z
786,6MwPCCR936cYfM1dLsGVnl,Motionless In White,5ucBd1GYFRg0uVhP4a4AY6,Graveyard Shift,2017-05-05,12,5Hpjl6TGB0MRb4eAk2wcRO,Queen for Queen,202626,False,2021-07-22T15:10:17Z
787,6MwPCCR936cYfM1dLsGVnl,Motionless In White,5ucBd1GYFRg0uVhP4a4AY6,Graveyard Shift,2017-05-05,12,0mDMySNeFk7O6DDslIcfPO,Rats,235840,True,2021-07-22T15:10:15Z
788,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,7FJpjeyDQxmRfZioyFHLLG,Catharsis,231866,False,2021-07-22T15:10:10Z
789,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,0vPkRB52RENZMpHybpFKYK,Brand New Numb,222461,True,2021-07-22T15:10:06Z
790,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,6HxvkE4HL60Uf9bHMhkdKt,Broadcasting From Beyond the Grave: Death Inc.,234626,True,2021-07-22T15:10:04Z
791,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,0YZEYxd1oiqZRFhnnmTKKi,Another Life,205394,False,2021-07-22T15:10:02Z
792,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,0CRXtwDkyX0VpkDcaTtG99,Holding on to Smoke,254042,True,2021-07-22T15:10:00Z
793,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,4DQPKxM9mp70Nxz0FH051A,Undead Ahead 2: The Tale of the Midnight Ride,273666,False,2021-07-22T15:09:57Z
794,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,0RjTa79DOaCvav4xusyHAH,Legacy,213813,False,2021-07-22T15:09:55Z
795,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,0y0v0SDevDcGW5rsDElup3,Thoughts & Prayers,240450,True,2021-07-22T15:09:53Z
796,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,3p3t4C8mvtZrFBRs6OE7eY,</c0de>,228333,False,2021-07-22T15:09:50Z
797,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,1zVuDtGYWtwg2Id64zrL2K,Headache,209027,True,2021-07-22T15:09:48Z
798,6MwPCCR936cYfM1dLsGVnl,Motionless In White,4JECM4NZhtpjDX4JbYkh00,Disguise,2019-06-07,11,6LNKeK9iJ66iwe16VxG43H,Disguise,237500,True,2021-07-22T15:09:46Z
799,0A7d0PJxaLO7CGI94ht6PX,Crystal Lake,6ofg8PguqxGWXQNPtLUBNG,CURSE,2021-07-14,3,2JBaqttopJ5uE6aklLCk38,Apollo Re:Coded - Kool Empire Remix,353994,False,2021-07-22T15:04:57Z
800,0A7d0PJxaLO7CGI94ht6PX,Crystal Lake,6ofg8PguqxGWXQNPtLUBNG,CURSE,2021-07-14,3,441bC27NrHSFL2T9ciMMOc,Mephisto,199534,False,2021-07-22T15:04:53Z
